title,author,abstract
An Analysis of the Representation of Swans in Heinz and Aronofsky's 'Black Swan',"Spanfelner, Sydney; DeMello, Margo","The 2010 film ‘Black Swan’ brings stereotypes of swans and femininity into the spotlight. Based on the ballet ‘Swan Lake’, this film is heavily influenced by the lore surrounding both the black and the white swan. While this is a commentary of the swan itself, it also plays a part in a larger conversation about gender roles and their consequences. The film follows Nina, a ballerina who is awarded the star role in her dance studio’s annual production of Swan Lake. Nina is expected to be able to (without-flaw) perform the role of the sweet, innocent white swan as well as the cynical, evil black swan. As Nina pushes herself to achieve this duality perfectly, she is overcome by paranoia and begins to see herself become a swan. The film uses costume, color, gender, makeup, and the use of swans to showcase Nina’s gradual descent into her new reality. The film ultimately uses these themes and techniques to comment on the fragility of femininity and how this obsession with perfect femininity is our ultimate demise. "
Littlebrook Creek Culvert Replacement,"Homberg, Sarah; Swannack, Sienna; Fischer, Gary","Littlebrook Creek is a tributary of Thornton Creek, located in North Seattle. Under NE 120th Street, between NE 35th Ave and 36th Ave, there is a culvert that runs perpendicular under the street that is collapsing. This culvert is also a barrier to salmon passage during spawning season because the culvert invert is too high above the creek bottom on the downstream side. A new long-term solution needs to be installed, otherwise the culvert could fail, causing NE 120th Street to collapse which would result in the damming of the stream and pooling of water from the stream potentially overflowing into neighbors’ yards. This project will consist of designing a replacement culvert. It will include removing the asphalt road, excavating soil, and removing the current thirty-inch concrete culvert in order for a sustainable replacement to be installed. The creek will have to continue to flow throughout construction which means that water will have to be dammed upstream of NE 120th Street and the water pumped across the street and released downstream, allowing for a dry construction area. Measures will need to be taken to prevent debris from construction contaminating the stream. Through diverting the water from upstream to downstream it will help with contamination prevention. Construction must also take place in the window of time that will not impede salmon migration. "
The Riemann Zeta Function,"Carstens, Johnny; Sullivan, Eric","The Riemann Zeta function is an enigma for mathematicians. What is more famously known is the Riemann Hypothesis, which was introduced to the world formally by David Hilbert in 1900 as one of his 23 unsolved problems. This problem has gone unsolved for 163 years and counting.The zeta function was first introduced by Leonhard Euler in the mid 18th century where it was defined over the real numbers. Euler then makes a monumental connection between the zeta function and the product of prime numbers, here the zeta function gains its infamy. Bernhard Riemann comes along in 1859 and extends the zeta function to the complex numbers. In doing so, he introduces his famous hypothesis ”The non trivial zeros of the function have a real part of 1/2 ”. This hypothesis implies that we can gain insight into the distribution of the prime numbers. In mathematics, we can calculate how many prime numbers there are in a defined interval, but we don’t know how to locate them.We intend to look at the Riemann Zeta function through two lenses, graphically and analytically. We explore how this function behaves under certain conditions and assumptions, while also being able to make meaningful visualizations that helps us understand the behavior of this function. We will also examine the analytic continuation of the Riemann Zeta function, which is the key element that allows the Riemann Hypothesis to exist in the first place. We will also look at the progress being made to solve this hypothesis. "
Synthesis of Renewable Surfactants,"Schuh, Logan; Dailey, Orrin; Carpenter, Chrissie; Carpenter, Chrissie","Herbicides such as Roundup are used to kill unwanted plants. These products utilize glyphosate as the active ingredient and were previously believed to be carcinogenic and related to cancer development. Multiple carcinogenicity studies have been carried out and numerous regulatory agencies have determined that the data does not support a link between glyphosate and cancer.1 However, it has been reported that surfactants, another ingredient in common herbicides, are more toxic than glyphosate itself.2 Surfactants are used to overcome solubility problems and to facilitate the dispersal of molecules in a solution. In order to create herbicide products with less toxicity to humans, new surfactants are being synthesized and researched.2 The aim of this research project is to create non-toxic surfactants using green and renewable resources such as natural carbohydrates and fatty acids. The resulting surfactants will be characterized, and their properties tested with the goal of creating less toxic, natural, and renewable surfactants to be used in products like Roundup. "
Metal-oxide p-n Photovoltaic Junctions Synthesized using Materials Abundant in the Martian Sathrolith utilizing the Electrophoretic Deposition Technique,"Radosevich, Timothy; Bailey, Marguerite; Wald, Elliot; Bailey, Marguerite; Rowley, John","Operational solar cells were fabricated using hematite (Fe2O3) as the light absorbing substrate. Some of the solar cells were fabricated using hematite minerals or ores that may be similar to those found in the Martian regolith; specifically, samples of: specular hematite, oolitic hematite, and hematite concretions. The light absorbing electrode was fabricated using three different techniques: electrophoretic deposition, spin coating, and solvent evaporation of the hematite samples onto a fluorine-doped tin oxide substrate (FTO). The dark electrode was a platinum (Pt) coated FTO and the redox mediator was 0.5 M NaI, 0.05 M I2, in acetonitrile with a 0.1 M tetrabutylammonium hexafluorophosphate (TBAPF6) electrolyte. Solar cells were tested under 1 sun (0.5 AMU) of white light illumination. The largest short circuit current was observed for samples fabricated from spectral hematite. The largest open circuit voltage was observed for hematite films fabricated from spin-coated metal nitrate (Fe(NO3)3)precursors. "
"Reason, Belief, and Ultimate Truth","Johnson, Max; Street, Alexander","A core question of the Carroll Honors Program is defining the search for knowledge and its common end goal; complete knowledge, or “Ultimate Truth.” The program has charted the works of many philosophers, and those who address Ultimate Truth consistently reach very different conclusions about its nature. This much is obvious, but it is less clear what causes these differences. It is often difficult or impossible to find outright errors in the logical processes of these works, certainly not enough to account for the vastness of afore mentioned discrepancies. Upon further inspection, the source of the discrepancy seems to be this: that the logical ladders start with differing assumptions or observations about the nature of humans and the world. If this is true, then it is impossible to separate logic from experience and observations and also impossible to grasp Ultimate Truth with logic alone. Merleau-Ponty expresses a similar sentiment in his World of Perception, arguing that our perception of the world is just as important as sound science in form our understanding of the world. He argues further that this understanding is in fact an approximation, made more or less complete by the breadth or lack thereof of our perception. Immanuel Kant recognizes this in his Religion within the Bounds of Bare Reason, arguing for a view of good and evil that also admits an element of spontaneity to human nature. This presentation will explore and synthesize these authors’ views on Ultimate Truth. "
Separation and Identification of Surfactants Found in Glyphosate-Based Herbicides,"Olson, Ryan; Carpenter, Chrissie","In recent years, Roundup and other glyphosate-based herbicides have shown correlation to causing non-Hodgkin lymphoma in humans. However, carcinogenic studies of the active ingredient in these herbicides, glyphosate, report that there is no link between glyphosate exposure and cancer. Therefore, studies are now shifting the focus on a separate series of chemicals that function as dispersal agents for the glyphosate compounds, called surfactants, since these compounds have been shown to be more carcinogenic than the glyphosate itself. In this project, we propose a method to separate and isolate compounds found in store-bought herbicides using a technique called high-performance liquid chromatography (HPLC). Using this technique, we seek to develop an automated method which will isolate and separate our target compounds from a commercial sample of pesticides to better characterize these compounds and provide a starting point for future synthesis. Ultimately, we hope to use this data to synthesize new and less toxic surfactants made from natural and renewable sources. "
Synthesis of 3-oxyangeloyl Trematone,"Dailey, Orrin; Pharr, Caroline","The natural product 3-oxyangeloyl-tremetone has been found to be a potent analgesic. Analgesic compounds have pain killing properties, and are widely used in pain management. This compound can be found in the plant Parastephia lepidophylla in Chile. Extraction of natural products can be expensive and time consuming and is not feasible for large scale production of pharmaceuticals. As a result, a five step synthesis to form the compound of interest from cost effective and readily available starting materials has been proposed. Starting with anisole and acetyl chloride, a Friedel-Crafts acylation was performed. This first step has been completed and the product has been isolated and purified. Synthesis of the next intermediate molecule, from step two, is underway. "
Characterization of Urinary Metabolic Biomarkers of Autosomal Dominant Polycystic Kidney Disease (ADPKD): A Pilot Study,"Bergstrom, Annika; Glimm, Matthew; Houske, Eden; Welhaven, Hope; June, Ronald; Hahn, Alyssa; Hahn, Alyssa","Autosomal dominant polycystic kidney disease (ADPKD) is the most common heritable kidney disease. ADPKD results from a mutation in the genes (PKD1, PKD2) for the mechanosensitive proteins polycystin-1 (PC1) or polycystin-2 (PC2). There is a need for earlier diagnosis of ADPKD so that treatments can be administered to slow or halt the progression of disease. We successfully employed a LC-MS-based global metabolomic profiling approach to 95 human urine samples (48 early ADPKD, 47 control) using an optimized metabolite extraction protocol for urine in search of metabolic biomarkers. A total of 1554 metabolite features were detected across 95 urine samples. We detected differences in global metabolomic profiles between early ADPKD and control samples using orthogonal partial least squares discriminant analysis (OPLS-DA), a supervised multivariate statistical method that searches for underlying variation between and within groups. 50 metabolites were detected as discriminatory metabolites (biomarkers) between control and ADPKD cohorts. Importantly, creatinine was detected as a potential biomarker, which supports the use of this LC-MS-based global metabolomic approach and provides preliminary insight into a panel of potential biomarkers of early ADPKD detected in human urine. Urine samples were obtained with partial clinical data, including Irazabal classification (1A-1E), which scores ADPKD patients based on disease severity and rate of renal disease progression. OPLS-DA revealed some separation between Irazabal subclasses, with the predictive component scores increasing overall with Irazabal classifications. These results suggest that distinct metabolic phenotypes of ADPKD exist, which correlate with disease severity and rate of disease progression and may have unique metabolic biomarkers. "
Photolytic Studies of Malonate Carbene Intermediates,"Keck, Matt; Pharr, Caroline","Carbene intermediates are of unique interest because of the prevalence of these molecules in interstellar space. These reactive organic intermediates are comprised of a central carbon atom with two bonds and one lone pair of electrons, and they react rapidly under standard temperatures and pressure conditions. The study of these compounds can provide researchers with information about the formation of more complicated molecules in the universe. The primary focus of this study was to conduct trapping experiments using light energy to form a carbene intermediate from a more stable precursor molecule. A trapping agent is added to the solution and reacts immediately with the unstable carbene intermediate when it is formed. The resulting products of this reaction can then be analyzed to provide information about the mechanism of formation of these products. Preliminary data from the reaction of these carbene intermediate compounds with methanol indicate a reaction with the carbene intermediate. "
Study of the Reactivity of Malonate Carbene Derivatives.,"Hendrickson, Roman; Pharr, Caroline","Carbenes are a class of radical organic reactive intermediate used throughout the chemical industry for the formation of carbon-carbon bonds. This chemistry is important for the synthesis of polymers, pharmaceuticals, and other molecules of interest. Carbenes can also be found in interstellar space. Because of their reactivity, it was discovered that when carbenes reacted with water and a base, they can form a sugar. This discovery lends great support to the Primordial Soup Theory of Life’s origin. Carbenes consist of a central carbon atom with two bonds and two free electrons. The electronic configuration of the carbene is referred to as a singlet or triplet state, describing the pairing and placement of the electrons in the unbound orbitals of the carbon atom. These differing electronic configurations yield different reactivities. Synthesis of carbenes using stable precursors allows for the study of their physical and electronic properties. "
Effects of Medical Cannabis on Advanced Cancer Pain,"Frati, Shannon; Dowdy, Josie; Kukulski, Melissa; Burkholder, Stephanie","Cancer is a disease that impacts people from all walks of life, and most patients experience some form of pain with their diagnosis. Pain can be related to their cancer or the treatment of their disease. According to the National Cancer Institute, 20% to 50% of patients with cancer experience pain and in patients with advanced-stage cancer, 80% of patients experience moderate to severe pain (2021). In order to improve the quality of life of patients living with advanced cancer, their pain needs to be managed. According to the American Cancer Society, “advanced cancer” describes cancer that is incurable. Patients with advanced cancer have varying levels of pain dependent on the type of cancer and is based on the individual’s perception (2020). Medical cannabis is one alternative therapy being used to help treat pain and other symptoms of certain medical conditions (Mayo Clinic Staff, 2021). The purpose of this Evidence-Based Practice review is to examine pain management of cancer patients using medical cannabis. Nurses or other healthcare providers can use this information to educate patients on alternative pain management therapies. "
Stereoselective Synthesis of [Cp*Ru(n 6 -arene)]X Complexes,"Christensen, Logan; Keck, Matt; Schuh, Logan; Hendrickson, Roman; Carpenter, Chrissie; Hitt, David","The creation of 1,2,3,4,5-pentamethylcyclopentadiene, otherwise known as Cp*, is a primary goal. This molecule is very expensive commercially, and a more affordable synthetic route would be beneficial. This research has historically been hindered in the initial stages of Cp* synthesis. An alternate synthetic route with additional purification has allowed the research to progress further. With these new breakthroughs, the research will turn towards the synthesis of ruthenium sandwich complexes and their potential applications. Two examples of these applications is in the field of therapeutics and organic synthesis. "
Quality of Life in People with Hydrocephalus,"Davis, Chloe; Morrison, Logan; Burkholder, Stephanie; Kukulski, Melissa","Hydrocephalus is a condition in which there is a buildup of cerebrospinal fluid (CSF) in the ventricles of the brain. Affecting one in five hundred people annually worldwide, it is the most common pediatric neurological surgical condition (Lim et al., 2018). Despite the frequency, there is no cure and the only treatment requires brain surgery. These procedures can cost tens of thousands of dollars each and they likely need more than one revision over time to replace the devices used to treat hydrocephalus (Lim et al., 2018).Given that the treatment of hydrocephalus is likely to come with substantial financial concerns, the goal of this evidenced-based practice review is to determine the relationship between socioeconomic status and quality of life in patients with hydrocephalus. Socioeconomic status is defined in this review as a combination of financial status, education, and occupation that define social standing (American Psychological Association, n.d.). On the other hand, quality of life is defined as a subjective appraisal that identifies the positive and negative outlooks on life (CDC, 2018). Nurses and other healthcare professionals can use the information from this review to ensure all patients have access to the care and education they need in order to mitigate adverse outcomes of this diagnosis and to provide the necessary support and resources to improve quality of life. "
Hippotherapy as a Treatment Tool,"Becker, Kaylyn; Suthers, Marie","What is Hippotherapy? The professional treatment utilizing the horse, its movement, therapy activities and the natural environment to meet discipline-specific therapy goals. Currently offered by licensed occupational therapists, physical therapists, or speech therapists. What is the purpose of bringing horses into the rehabilitation process of physical therapy? Some may say it’s a fantasy for horse-crazy folks to live out their desires. Hippotherapy is not only a functional and realistic tool in the operations of rehabilitation and physical therapy, but it in fact, improves the process for patients and therapists in both experience and efficiency. The treatment sessions astride a horse offer a greater stimulatory and motivational environment for disabled peoples in both a physical and psychological realm. In addition, it provides an environment that will keep patients coming back for their therapy sessions with vigor, rather than treating it as a chore. Half of the improvements made in physical therapy are up to the willingness and application of the patient to pursue self-betterment. Research included will be pulled from “Enhancing Human Occupation Through Hippotherapy: A Guide for Occupational Therapy, 1st Edition, 2007.” Written by Barbara T. Engel and Joyce R. MacKinnon, with a PhD, OT, OTR and is a professor at the School of Occupational Therapy, University of Western Ontario. Research will also include information from a series of Hippotherapy books called The Brown Pony Series presented to and surveyed by the AHA national conference for the past 6 years by Rebecca Cook – a Hippotherapy Clinical Specialist with 20 years of private practice experience successfully combining both horses and people in therapy. The conclusive purpose of this research is to bring to light the evidence as well as the proper terminology in practice so to spread awareness of Hippotherapy as a legitimate tool for Physical therapists, Occupational therapists, and Speech Therapists in the state of Montana. "
Bystander Intervention Training: Does It Really Work?,"Otis, Landry; Dolan, Jamie; Roncalli, Elvira","American society devalues anything pertaining to the feminine. In particular, our social space promotes a rape culture that objectifies and devalues women, leading to sexual harassment and sexual assaults. Additionally, there is a lack of education regarding sexuality, sexual health, and sexual violence. Sexual assault and sexual violence are prevalent, particularly on college campuses. About 20-25% of female students and 3-6% of male students will experience sexual assault. This research analyzes information that is required/provided on college campuses regarding sexual assault and any bystander training it provides. According to the Campus Climate Survey data, 9% of Carroll students thought the information provided to them was “helpful,” and 44% of respondents reported that it was “slightly helpful.” Similar results were found when asked how well they remember the information given to them, or where to find help should an assault occur. This trend follows other institutions like Carroll. Therefore, researching what other information can be given to students that yields better results can aid Carroll in their information regarding sexual assault. It is essential to build a community that is aware of these sexual violence issues. It must be able to educate its students on what it is, how to prevent it, and to support those who have been victimized. “Our common identities and heritage as women can provide enormous personal and political strength as long as we claim the power to define what women can be and what female institutions can achieve” (Friedman 1995, p. 99). "
Characterization of metabolomic profiles in late and early Osteoarthritis patients,"Zebarth, Dawson; Sargent, Arianah; Hahn, Alyssa","Osteoarthritis (OA) is a prevalent disease in our society. However, a deep clinical understanding of this metabolic disease remains elusive due to the stratified nature of OA patients. Osteoarthritis presents differently in acute (no prior history of joint disease) and chronic (history of joint disease) patients. Recent studies suggest that chronic versus acute biofluids differ in the Glycine-Serine (Gly-Ser) and collagen breakdown pathways. Further investigation found that patients with a previous OA diagnosis show metabolic profiles more similar to healthy profiles as compared to acute profiels. While many studies have analyzed groupings of chronic/healthy and acute/chronic patients, few studies have compared all three groups. In order for these comparisons to be made, synovial fluid samples from chronic, acute, and healthy patients will be acquired and analyzed using Liquid Chromatography-Mass Spectrometry (LC-MS). Raw data collected from LC-MS will then be analyzed with Principal Component Analysis and Hierarchical Cluster Analysis to determine if groups naturally cluster together. Subsequently, Orthogonal Partial Least Squares-Discriminant Analysis will be used to identify metabolites that discriminate between cohorts. Metabolites with the highest discriminatory power (as determined by variable importance in projection scores) will be analyzed by pathway enrichment algorithms to identify perturbed metabolic pathways in acute versus chronic OA. Different metabolite profiles are expected for the three different groups with the acute patients as an outlier and the chronic patients relating closer to healthy patients. Acute patients should show distinct differences in the Gly-Ser pathway and collagen degradation pathway, while chronic patients should more closely resemble healthy patients. These discoveries could be used to address the heterogeneity of OA and would likely prove beneficial in the development of personalized treatment methods. "
Spatial-temporal analysis on distribution and abundance of Missouri River fish from 2001-2021 seining data,"Hagengruber, Joseph; Hokit, Grant","Montana Fish Wildlife and Parks and Northwestern Energy have conducted seining fisheries surveys on the Missouri River from 2001 to 2021, to determine the abundance and distribution of fishes that reside between five sampling transects along the river. These locations include Morony dam, Fort Benton, Coal Banks, Judith Landing, and Fred Robinson bridge. There haven’t been significant efforts to examine and interpret the large dataset. My project aims to establish and spatial and temporal analysis of relationships between the diversity and abundance of species, and environmental factors such as water temperature, discharge, and Secchi depth readings. The intent of the project is to provide an analysis that demonstrates an association between biological and environmental variables. The project is not a controlled experiment, so the results displayed do not indicate causation. Through this study and the results, I hope to provide ideas for future management of non-game and prairie fish, especially for species that are listed as species of concern. "
Hezbollah: Party of God,"Webb, McCabe; Fregulia, Jeanette","It is difficult to think of a group whose goals and actions resist a simple characterization more than that of the Lebanon-based “Hezbollah” (Hizbulla, Hizballah). Viewed by some as protectors and others as a threat, this organization connotes a wide variety of things to many different people globally. This presentation endeavors to express the history of the organization, including the reason behind its formation, its goals, and the roles it has had and continues to play in society. This presentation takes a nuanced approach, presenting a variety of perspectives on an organization which cannot be generalized. Finally, this work addresses the role Hezbollah plays in security as both a potential partner and possible concern for various parties both locally and internationally. "
Applying Global Metabolomics to Investigate the Correlation Between BMI and Osteoarthritis,"Payne, McKenna; Mozer, Aiden; Hahn, Alyssa","Osteoarthritis (OA) is a degenerative joint disease characterized by the progressive breakdown of articular cartilage. One of the significant and modifiable risk factors for developing OA is obesity. There is still much to learn about the cellular mechanisms of OA, and diagnosis is limited to identifying structural damage within the joint. New studies in the field of metabolomics have shown promise in identifying biomarkers that could lead to early diagnosis, monitoring of the disease, and understanding of the pathophysiology of OA. In this research study, synovial fluid (SF) samples were analyzed through global metabolomics to study the effects of body mass index (BMI) on the development of osteoarthritis. The samples were collected from a local clinic in Helena, and metabolites will be extracted from the samples. Extracted metabolites will be analyzed through liquid chromatography coupled to mass spectroscopy (LC-MS) in order to assign mass values to each individual metabolite. Statistical and functional analyses will be performed to identify metabolic trends in order to elucidate the relationship between BMI and OA to better understand BMI as a risk factor for developing OA. "
