title,author,abstract
Hybrid Closed Loop Insulin Delivery System Treatment for Adults and Adolescents with Type One Diabetes Mellitus: A Systematic Review,"Tuggle, Baxter; Schafer, Gerald",Objective: To review current literature that assesses the effectiveness of hybrid closed loop insulin pumps at improving time in range (TIR) and HbA1C for adults and adolescents with Type One Diabetes Meletus (T1D). Methods: Literature gathered through PubMed and CINAHL databases was reviewed for associations between HCL and improved TIR along with HbA1C in adults and adolescents with T1D. Results: HCL showed a strong relationship between improved TIR and HbA1C in adults and adolescents with T1D. Discussion: All studies showed a strong association between HCL and improved TIR along with HbA1C. These findings should influence the way health care providers treat T1D. 
Diagnosis Methods in Horses with Potomac Horse Fever,"Abernathy, Natalie; Schafer, Gerald","Objective. To review current literature on the most effective method of diagnosing Potomac horse fever. Methods. Literature was gathered from PubMed, Web of Science, and Google Scholar, and assessed for effectiveness of diagnostic methods of Potomac horse fever. Results. The majority of articles indicated that using PCR as a means of detecting Potomac horse fever was most effective. Use of enzyme-linked immunosorbent assay was also indicated in some articles as being an effective method. Conclusion. The use of PCR as a means of diagnosing Potomac horse fever was found to have the least amount of false positive and false negative results when compared to IFA and ELISA diagnostic tests. PCR is the most commonly used diagnostic method for detecting Potomac horse fever. "
"The Effects of Intermittent Fasting Diet at Different Stages of Circadian Rhythm on Mus musculus on Metabolic Rate, Glucose and Ketone Levels, and Overall Body Fat Loss","Lohr, Kelsyn; Sheafor, Brandon","Intermittent fasting (IF) diets are popular weight loss regimens that are thought to promote heart health, fight inflammation, and reduce risk of cancer. For humans, fasting periods typically take place during the night with feeding periods during the day. However, it is unknown if this is the best fasting method in relation to a mammal’s circadian rhythm. Using laboratory mice (Mus musculus), we will study the efficacy of the IF diets at different points within a daily circadian rhythm. Mice will be placed in three groups: mice feeding ad libitum, mice fasting overnight, and mice fasting during the day. Metabolic rate, respiratory quotient, urine glucose and ketone levels, and overall weight change of the three groups will be quantified over a seven week period. Glucose and ketone levels will be tested using 96 well colorimetric assay kits. A flow-through respirometer will be used to test metabolic rate and respiratory quotient. If the time of day at which fasting occurs results in changes in lipid metabolism then we should observe significant differences in metabolic rate, respiratory quotient, urine glucose and ketone levels, and body weight between the daytime and nighttime fasted mice. "
Latina Women: Invisible Pillars of Power,"Hoelscher, Lily; Hallows, Ryan","This presentation addresses the nature of identity in specific regards to women in Latino communities, examining effects of both intercultural stereotypes and intracultural conflict on women within their groups of origin and how they are perceived by the broader world. Personal relationships with other women in their lives and with Latino men are a defining factor of this exploration and will be discussed through examples from fictional and biographical literature by Latino/a authors. As societal influences on cultural identities are further illustrated, the power – or lack thereof – of the Latina woman within family and community structures will be brought to the fore. Through recent works by Latina artists and activists revealing multiple dimensions of their own social and psychological experiences, it is hopeful that in the near future the Latina woman’s unique position will finally be seen and heard in a world that so often seeks to crush her. "
Fixing Parking Problems & Honoring Our Student Veterans,"Rector, Ryan; Christian, Patricia","At Carroll, parking for students is a challenge. Rarely are there any open “Permitted Student” parking spaces in semi-convenient locations around campus during campus peak hours. Meanwhile, data showed that there were, on average, 39 unused “Staff/Faculty” parking spaces around campus during peak hours (10am & 2pm). The proposal was a research supported proposal that was intended to fix a problem in a meaningful way with 10 of the 39 available, unused, non-assigned “Staff/Faculty” parking spaces around campus. We proposed that 10 of those 39 spaces be assigned and made available to all currently enrolled “Student Veterans.” For good measure, it is also suggested that Carroll College consider investing in some Student Veteran/Veteran Spaces in the HAC/PE Center parking lot. The proposal has received unanimous approval from every major governing body on the Carroll campus. The research conducted was not your typical college research project. It was not for any class. The study ended up being a collaborative effort between the Student Veterans Organization, Veteran Services, Campus Safety and Security, Securitas, and Facilities. Securitas conducted the 5 week data collection process. Every non-assigned Staff/Faculty parking space was counted, and recorded, per location. All assigned/designated parking spaces were omitted from the count and data collection process. Peak hours were identified prior to the beginning of the semester. It was assumed that the peak hours would result in the most impacted parking times for the campus. Thus, the parking spaces were counted twice each working day M-F, at the hours of 10am and 2pm. For each week, per lot, an average was measured per time 10 & 2. Then each lot was averaged for each time per each lot. Then every lot was averaged for each time. Then each time was averaged together to get the 39 avg. unused parking spaces at any given time of day. This average was then reduced by 10 spaces for new staff/faculty employees. Currently we have 24 student veterans enrolled at Carroll. The amount of parking spaces that were proposed was 10-12 spaces that would be assigned to only Student Veterans. These spaces were to be spread out over the staff and faculty parking lots that had the most availability around campus. Thus leaving a safe buffer of 29 unused staff and faculty parking spaces around the campus. The 10 new signed spaces for student veterans is ultimately beneficial for the entire Carroll Community. Student Veterans get more preferential parking around campus, parking around the campus will be utilized more efficiently, and traditional students will theoretically gain 10 parking spaces. Having semi-permanent “Student Veteran Parking Spaces” spread around campus is a great recruitment tool for Carroll to employ when looking to get more student veterans enrolled at Carroll. "
Sir Gawain and the Green Knight: Part I,"Wallis, Caleb; Graham, Loren","Sir Gawain and the Green Knight is a 14th century chivalric romance poem written in Middle English with a combination of alliterative and rhyming meter. Despite the poem’s popularity in recent media, this is all of what we know about The Green Knight’s history. When it comes to other popular mythological pieces such as The Odyssey, a title of distinct authorship gives these poems a defined time and style, which in turn leads to a figure of authority over the poem itself. Even many poems without an author, such as Beowulf, still manage to retain such a figure through their continued use in academic and popular spaces, as seen in the prominence of translators such as Chickering and Heaney. The Green Knight, however, not only has an absent author, but also any major figure of authority. No one owns The Green Knight in the way Homer owns the Odyssey, nor is anyone The Green Knight’s academic standard in the way Chickering’s translation is for Beowulf. This creates an immediate draw for any translator seeking to work with medieval source material, as such a lack of authority means that, through the skill and style of a talented translator, The Green Knight can be made one’s own in a way that The Odyssey cannot. In this light, I will be presenting my own translation of Sir Gawain and the Green Knight. This translation is in modern prose and seeks to combine both medieval and modern language with the poem’s existing alliterative style. "
“Se reconstruire” : building a feminist economy in Rwanda post-genocide,"Badaruddin, Helen; Crohas, Julie","The 1994 Rwandan genocide devastated the country’s political, economic, and social core. With around 800,000 people dead, around 60 to 70% of the surviving population were women. Just three decades after their independence from the Belgian colonial empire, the surviving women were left to reconstruct Rwanda again, and now, women represent more than 60% of their parliamentarians. However, theorists such as Briggs note that their political representation may not translate to social and economic equality. This research explores the economic implications of Rwanda’s women-led government through an examination of macroeconomic trends since the genocide. "
Social Barriers and their Affects on the Availability and Accessibility of Menstrual Products,"VanSickle, Emma; Johnson, Jeremy","Objectives: To review current literature to determine the effects of social barriers on menstrual products and menstrual health on women and individuals who menstruate. Methods: Literature was gathered from PubMed and CINHAL databases and assessed for association between menstruators, menstrual products, and accessibility. Results: The overall findings based on the information found were consistent with the conclusion that social barriers have large impacts on the accessibility of menstrual products to individuals who menstruate. All studies and literature supported the results and further explained the issues surrounding menstrual health across multiple countries. Conclusion: Menstrual health and hygiene should be seen as “health-related necessities” and yet those who are homeless, have a disability, or are from countries where menstrual health is not seen as a necessity, have difficulties accessing reproductive health care and menstrual products. By changing the stigma and social normalities surrounding reproductive health and menstruation, more individuals can gain higher education, feel more comfortable and confident during their periods, and gain higher access to menstrual products and necessities. "
An Evolutionary Exploration of Drag,"O'Reilly, Kyra; Fregulia, Jeanette","Drag, a performative art in which individuals dress in exaggerated and artistic displays of gender, has a long history and has been seen worldwide for centuries. For example, in the fourteenth century, women would dress as men to attend tournaments, and while at the time, that was not defined as drag, it can today be seen as such. Similarly, in Shakespearean theatre, where women were not allowed to act, men would dress up and play the female characters in the show. In the 1800s, the term drag emerged in the media to describe men dressing as women. In the United States in 1858, William Swan, a formerly enslaved person, became a self-named queen of drag. Despite its long history, there has been a shift from seeing drag as a celebrated art form to a perverse manipulation. In this presentation, I explore these questions: What does history have to say about drag? Why are drag performers being targeted so egregiously? What are current media platforms saying, and is this attack on drag only the start of a bigger attack on the queer community? "
"Meaning, morality, and the need for a Rearticulation of the self","Gold, Greyson; Glowienka, Edward","My research examines contemporary philosophy surrounding the moral values and meaning which make up the self. I seek to articulate what Charles Taylor labels the best account of the moral self––the system which provides the most fitting and consistent framework by which to explain the complexity of the human. I look at the works of atheist thinkers Friedrich Nietzsche, one of the founders of Postmodernism, and Jean-Paul Sartre, one of the primary existentialist thinkers, to examine some of the contemporary notions of the moral self. I argue that these thinkers fail to provide a best account of the moral self. Alternately, bringing in the thought of Iris Murdoch, Charles Taylor, and Susan Wolf, I argue that the moral self is not limitable to a Nietzschean becoming or an existential willing, but must be explained in relation to a higher telos, an object of love, an aim for moral growth, by which one can judge the goodness of one’s actions and the meaningfulness of one’s life. I also discuss the role of narrative art in articulating aspects of the moral self, arguing that effective narrative art supports my teleological framework. "
The Gentrification of Chicago as a Result of Urban Renewal: The Effect on Little “Not So” Italy and Public Housing,"Cox, Griffin; Pavlakis, Dean","Starting in the 1940s, the Urban Renewal Act was implemented to rebuild the slums in cities around the United States, with the goal of creating a new beginning. In Chicago, Urban Renewal was an excuse for the demolition of Little Italy, leading to the displacement of and disappearance of the community. The intended goal of this removal was to make room for the expansion of the University of Illinois in Chicago (UIC) campus. The Urban Renewal Act also resulted in the creation of public housing, most notably the Cabrini- Green homes. Urban Renewal targeted communities, intended or not, that consisted primarily of people of color. Some of these communities were relocated to public housing, being promised that the new housing would be a Utopia. These promises would quickly devolve and Cabrini-Green would be run by gangs and residents would be shot at from rooftops of the buildings. Urban Renewal promised a a reconstruction of the communities for the better, but resulted in worse conditions than before. "
"Meaning, morality, and the need for a Rearticulation of the self","Gold, Greyson; Glowienka, Edward","My research examines contemporary philosophy surrounding the moral values and meaning which make up the self. I seek to articulate what Charles Taylor labels the best account of the moral self––the system which provides the most fitting and consistent framework by which to explain the complexity of the human. I look at the works of atheist thinkers Friedrich Nietzsche, one of the founders of Postmodernism, and Jean-Paul Sartre, one of the primary existentialist thinkers, to examine some of the contemporary notions of the moral self. I argue that these thinkers fail to provide a best account of the moral self. Alternately, bringing in the thought of Iris Murdoch, Charles Taylor, and Susan Wolf, I argue that the moral self is not limitable to a Nietzschean becoming or an existential willing, but must be explained in relation to a higher telos, an object of love, an aim for moral growth, by which one can judge the goodness of one’s actions and the meaningfulness of one’s life. I also discuss the role of narrative art in articulating aspects of the moral self, arguing that effective narrative art supports my teleological framework. "
The Gentrification of Chicago as a Result of Urban Renewal: The Effect on Little “Not So” Italy and Public Housing,"Cox, Griffin; Pavlakis, Dean","Starting in the 1940s, the Urban Renewal Act was implemented to rebuild the slums in cities around the United States, with the goal of creating a new beginning. In Chicago, Urban Renewal was an excuse for the demolition of Little Italy, leading to the displacement of and disappearance of the community. The intended goal of this removal was to make room for the expansion of the University of Illinois in Chicago (UIC) campus. The Urban Renewal Act also resulted in the creation of public housing, most notably the Cabrini- Green homes. Urban Renewal targeted communities, intended or not, that consisted primarily of people of color. Some of these communities were relocated to public housing, being promised that the new housing would be a Utopia. These promises would quickly devolve and Cabrini-Green would be run by gangs and residents would be shot at from rooftops of the buildings. Urban Renewal promised a a reconstruction of the communities for the better, but resulted in worse conditions than before. "
A Headline is Worth a Thousand Words: An Analysis of Syrian Media about Refugees,"Badaruddin, Helen; Jones, Charlotte","With about thirteen million displaced Syrians worldwide, the Syrian refugee crisis remains one of our most significant global challenges. In 2015, images of Alan Kurdi, a Kurdish-Syrian two-year-old refugee, lying dead on a beach went viral across the West and dramatically increased the media attention on the Syrian crisis. Despite extensive research on how media in receiving countries, like Canada and Turkey, discuss refugees, there is minimal research on the media representation of Syrian refugees in Syrian media. This study explores headlines from Syrian opposition and government sources and concentrates on how they frame refugees. The data highlighted the power of political alignment as a gatekeeping force as the sources framed refugee stories differently based on their ownership and political-lean. Using refugee stories as a topic area allowed for an exploration of varying manifestations of nationalism that were shaped by issue framing. Opposition sources were more likely to express nationalism through sympathy for their displaced compatriots than their government-leaning counterparts. "
The Resistance Will Be Heard: Charly García’s Way of Singing an Opinion.,"Daley, Clare; Restrepo-Mesa, Sergio","The study of music can also be the study of history or revolution. A look at the representation of women in the work of Argentinian musician Charly García illuminates the attitude of Argentina’s citizens under a misogynist dictatorship from 1976-1983. According to Jacques Rancière, it is important that political messages have an art form, and, in this way, Charly García’s music is rich in archetypes that communicate his political stance. Thanks to this exercise in a rhetorical art form, the Argentinian musician’s fame gave a voice to the people who lived under oppressive dictators. With this in mind, what are the lessons woven into Charly García’s lyrics and how can they continue to influence people after so many decades? The theme of this essay is my interpretation that the women in Charly García’s songs are a representation of Argentina and the suffering the country has experienced. I will illustrate how his songs, in a time of oppression for many, were acts of resistance against an unjust and dangerous totalitarian government. In addition to this, I will demonstrate how Charly García, in order to protect himself from the persecution of the dictators, used imagery from well-known stories and fairytales to talk about issues of life and death. In conclusion, I will show how, through Charly García’s songs, we learn to have creativity and use our voice to express the messages of liberty that we carry in our hearts. "
The Role of REM Sleep in Creativity,"McGill, Anna; Bauer, Layne; Honzel, Nikki","The original study done by Carlsson et al. (2019) examined rapid eye movement (REM) sleep and its effects on creativity in college students after daytime naps or rest. This study of REM on creativity is important for students to be able to problem solve. Sleep data was recorded on smart watches worn by participants to measure total sleep, deep sleep, and REM sleep. We hoped to see whether more REM sleep affected levels of creativity. Participants were asked to take 2 randomized creativity tests, including the Remote Associates Test (RAT) and an Alternate Use Test (AUT). Twenty participants each had fifteen minutes to complete the RAT test, and three minutes to complete the AUT test. Our hypothesis was that high amounts of REM sleep would positively correlate with high amounts of creativity. Participants randomly assigned to RAT A (difficult) had lower scores than those randomly assigned to RAT B (easy), while participants randomly assigned to AUT A (easy) had higher scores than those randomly assigned to AUT B (difficult). The results showed that with less REM sleep, higher levels of creativity were exhibited on the AUTs, but no significant effects were shown for RATs. "
How does School Funding influence aspects of the National General Education Policy?,"Arthur, Erika; Paris, Reagan; Prendergast, Tess; Ryan, Reagan; Gilboy, Kathy","Our group decided to research how funding influences the aspects of the National General Education Policy. We chose this topic because as future educators school funding will directly affect our classrooms, student support programs, and educational environments. We find this topic pressing in today's society after seeing detrimental teacher loss due to insufficient salaries and school budgeting. As a group, we want to learn more about the National General Education Policy and the positive and negative effects this has on state and federal funding. Through our research, we plan to investigate how funding filters into national programs such as ESSA (Every Student Succeeds Act) and ESEA (Elementary and Secondary Education Act) and the effects of these acts in all aspects of the education system. We believe that research will show that a lack of funding for these programs has had a negative impact on the aspects of education policy across the United States. "
Self Actualization Through the Eyes of St. Augustine and Zora Neale Hurston,"Karbowicz, Sonia; Greiner, Katherine","“Know thyself!” -- The journey of self-discovery is a critical road every human must walk if he wants to live a full and fruitful life. In Confessions, St. Augustine discusses his yearning for deeper understanding of joy and pleasure as his worldly desires were not enough. In Their Eyes Were Watching God by Zora Neale Hurston, Janie struggles with allowing others to define her rather than her defining herself. Both characters grapple with imposed expectations their external experiences place on them, finding no satisfying answers. St. Augustine and Hurston examine how the world places constraints on self-actualization and follow the journey of coming to define oneself regardless of past experiences. Focusing on the suffering necessary for such a transformation, St. Augustine and Hurston demonstrate how the search for self within a tumultuous world leads to a complex and deeper understanding of life. The search for knowledge must begin at the individual level as self-actualization allows for a clearer understanding of the rest of the world. "
Dangers to Human Society: Applying Aristotelian Virtue Ethics to Gulliver's Travels,"Holmes, Macie; Greiner, Katherine","According to Aristotle, individuals ought to strive to be virtuous. This idea is outlined in his Nicomachean Ethics, where he describes virtue as being the mean of two vices. In application, Aristotle’s understanding of virtue can be applied to societies as well as individuals, whether to highlight virtuous traits or the vices of the society. One place to do so is pertaining to Gulliever’s Travels, a satirical novel written by Jonathon Swift. Gulliver travels to a multitude of fictional islands and observes the societies within each. From the reader’s perspective, it is easy to identify the vices of each nation, in addition to those portrayed by Gulliver. By investigating two of Aristotle’s virtues and their vices found in Gulliver’s Travels and applying them to society as a whole, this inquiry will investigate the greatest dangers to human society as succumbing to vices which lead to an immoral society, especially when society is incapable of recognizing their faults. "
The Best Society: a Comparison of Aristotle and Machiavelli,"Wassmuth, David; Greiner, Katherine","By investigating the writings of Machiavelli and Aristotle, I will show what a just society is and how both authors believe this can be achieved. Aristotle, writing in the 4th century BC, believes that every person’s individual quest for virtue will create a just society, and that just societies can only be built in this way from the ground up. He gives a very direct route to a just society by listing virtues, explaining their related vices, then showing why the virtues are useful to a just society. In The Prince, Machiavelli provides an interesting counterpoint, arguing that to create and maintain a just society, rulers must commit unjust actions. His 16th century method of fighting fire with fire directly attacks vices present in society, but the benefits may be outweighed by the costs of reaching a just society in this way. Both authors believe that a just society is a worthy and achievable goal, but their methods to reach the goal differ greatly. Aristotle provides an intellectual and optimistic approach to a just society, while Machiavelli brings it down to earth with a more practical approach to make just societies work. This paper searches for a reconciliation of these two views, finding a common ground that both authors agree on. From that point, it may be possible to create a society that is both just and feasible in today’s world. "
What Do We Owe Our Fellow Human Beings?: Answered by Mary Wollstonecraft and Virginia Woolf,"Sargent, Ava; Greiner, Katherine","Education is a key feature of a just and equitable society. Cultivating a robust and successful education system requires knowing how to best support students from all backgrounds. Yet, that does not always happen. Mary Wollstonecraft and Virginia Woolf provide insight into how one can best support students from all walks of life, while also showcasing the effects that lack of education can have on students. In The Vindication of the Right of Women, Mary Wollstonecraft states the struggles women experienced during the 1700s. Through her recollection of women's inequality, Wollstonecraft sets up her ideas on what she thinks will be most beneficial for students within education so they have the opportunities to gain knowledge in ways that she and other women were not allowed to. Woolf compliments the ideas of Wollstonecraft as she too experienced inequality due to her being a woman in the early twentieth century. In her work, A Room of One’s Own, Woolf introduces the importance of having one’s own space to devote to their passions, as well as having the opportunity to explore new interests. Through exploration and dedicated time to her creative work, Woolf was able to gain knowledge and feel like a productive member of society. Both Wollstonecraft and Woolf desire to reveal ways in which one can support and provide for students in education because they have experienced the shortcomings of society. Analyzing their desire to support the education of women in their particular contexts offers a way to consider how to create an education system that supports all students. "
Examining the Role of Power in the Downfall of Human Society through King Lear and Survival in Auschwitz,"Goulet, Elaina; Greiner, Katherine","The destructive quality of power can be seen in both Shakespeare’s King Lear and Primo Levi’s Survival in Auschwitz. While King Lear is a fictional story depicting a family destroyed by power, the message underlying the story is very real. King Lear’s daughters, Goneril and Reagan, both fight for the power their father handed over, and in doing so lose sight of meaningful relationships, as well as the value of a human life. This leads to the collapse of the entire kingdom. The devaluing of human life due to power can also be seen in the nonfiction work Survival in Auschwitz, which retells the horrors of the concentration camps during WWII, in which prisoners slowly lost touch with their own humanity. In Survival in Auschwitz, Primo Levi shows how the power structure in the concentration camps were linked with the amount of humanity the prisoners were able to hold on to. While King Lear is fictional and Survival in Auschwitz nonfictional, both show the destructive aspect of power. This is explored in this presentation by analyzing the greed of Goneril and Reagan, as well as the struggle to survive in Auschwitz, and how these uses of power may lead to the downfall of society. "
Searching for Knowledge with Descartes and Merleau-Ponty,"Wald, Elliot; Greiner, Katherine","The search for knowledge is one that many people have undergone in some form or another. René Descartes and Maurice Merleau-Ponty are both philosophers who describe this search: defining knowledge and discussing the best way to find it. Descartes’ work revolves around the notion of pure, irrefutable truth isolated through the correct use of reason. He emphasizes how applying those truths allows one to control their external environment. In contrast, Merleau-Ponty focuses on the imperfection of human perception and how accepting its flaws leads to a better understanding of oneself. He explains that this knowledge of self makes it easier for people to form connections with others, respect their opinions and work together in society. Though these two thinkers disagree about the nature of knowledge and reason, both recognize that curiosity is an inherent human quality that allows people to grow their understanding of the world. Their works suggest that by combining scientific and social inquiry, searching for knowledge leads humans to become better versions of themselves. "
