Name,Topic,Title,Abstract
"Jensen Keller, Jaymee Sheridan, Stephanie Smith",Nursing,"In women that are pregnant, how does vaginal delivery compared to cesarean section delivery affect breastfeeding success?","Breastfeeding is crucial for both maternal and infant health, and various aspects can influence its success. One significant factor under examination is the mode of delivery; vaginal or cesarean section. This abstract reviews existing literature to explore the impact of delivery style on breastfeeding success. There are many factors from both delivery modes that impact the success of breastfeeding as well as the recovery of the mother. While cesarean sections are sometimes medically necessary, efforts to support breastfeeding initiation and continuation in this population can be challenging. Whereas breastfeeding after vaginal delivery, makes for a smoother and more successful transition to breastfeeding. Further research is warranted to highlight the relationship between delivery mode and breastfeeding outcomes. Interventions for successful breastfeeding initiation and duration for mothers and infants are important to help optimize their overall holistic health."
Zach Rector,Health Science,Ozempic & Weight Loss Outcomes for Type 2 Diabetes Patients,"Objective: To review studies conducted on the Type 2 Diabetes (T2D) treatment Ozempic in comparison to traditional treatments, with the variables measured being average HbA1c and weight loss. Methods: Literature was gathered primarily through PubMed, with an emphasis on studies examining Ozempic in contrast to other T2D treatments. Dosage level effectiveness of Ozempic, efficacy in comparison to other treatments, and success over a given period were examined. Results: Ozempic was more effective at reducing average HbA1C and weight of trial participants in comparison to traditional treatments, such as insulin therapy and Lixisenatide. Tirzapeptide, a T2D treatment released in 2023, was more effective than Ozempic for reducing average HbA1C and weight in T2D patients in two trials.  Conclusion: Ozempic was found to be more effective than traditional treatments for T2D in terms of HbA1C and average weight reduction. Further research should be conducted comparing the efficacy of Trizapeptide in comparison to Ozempic."
Sydney Gannon,Health Science,Comparison of Prenatal and Postnatal Treatment of Myelomeningocele: A Systematic Review,"Objective: To review relevant literature concerning the impact of prenatal repair of myelomeningocele on overall infant and maternal health, compared to postnatal repair of myelomeningocele.Methods: Literature was gathered through PubMed and CINAHL and assessed for long- and short-term effects of prenatal and postnatal repair of myelomeningocele on infant and maternal health. Results: Prenatal repair was associated with significant health and functionality improvements in later childhood compared to postnatal repair, but it was also correlated with increased pre-labor risks for both mother and child. Conclusions: While unique, individual features such as lesion size have an impact on the suggested treatment of myelomeningocele, current research suggests that prenatal repair is associated with more positive long-term health than postnatal repair; however, this treatment comes with the risk of complications in the pre-labor stages. The interventions mentioned in this review should be further researched to provide additional treatment options."
"Hannah Ziegenhagen, Emma Stachofsky, Andrea Robinson",Nursing,Early Intervention Chronic Kidney Disease,"Many people at risk for chronic kidney disease (CKD) do not recognize risk factors or have awareness of modifiable lifestyle changes that could prevent or slow the progression of CKD. Chronic kidney disease is a serious and irreversible condition that requires lifelong treatment of dialysis. This treatment can create barriers in everyday life and lower overall life expectancy. The purpose of this evidence based practice brief is to determine if free yearly urine albumin to creatinine ratio (uACR) tests at screening and preventive events can reduce progression of CKD by helping with early diagnosis in those with risk factors. The uACR test is one method used to measure the functionality of the kidneys which is indicative of CKD, as decreased kidney function correlates with further progression. The results of this research may reduce the rates of CKD progression by screening more people with CKD risk factors. Offering this resource gives the opportunity to diagnose and treat the disease before dialysis is required, potentially slowing its progression and reducing the need for dialysis."
Gabrielle Sheridan,Public Health,Period Products on Montana Campuses,"Poverty impacts people’s ability to afford many essentials, including menstrual products, and this can be especially challenging for college students already rationing their money. Research indicates that 14.2% of college women have experienced period poverty within the past year, while 48% have encountered difficulties accessing menstrual products due to financial constraints.(Gruer,C) Additionally, nearly 19% have had to prioritize menstrual products over other essential expenses.(Jaafar, H) In response to this issue, colleges across the United States, including institutions in Montana, have initiated efforts to provide tampons and pads in campus restrooms. This research examines how colleges in Montana have begun offering tampons and pads by collecting data from three colleges in Montana. At each location, data on products in restrooms was recorded. Additionally,information on the funding mechanisms and distribution management of these products was collected. The majority of institutions provide some form of period product support to students and others on their campuses. The findings underscore the widespread recognition of the importance of addressing menstrual hygiene accessibility in educational institutions. The prevalence and absence of these practices is analyzed across institutions in order to determine which institutions are likely to provide products and their associated benefits. Gruer C, Goss T, Schmitt ML, Sommer M. Menstrual Equity Initiatives at USA Universities: A Multiple Case Study of Common Obstacles and Enabling Factors. Front Reprod Health. 2021 Dec 8;3:787277. doi: 10.3389/frph.2021.787277. PMID: 36304028; PMCID: PMC9580624."
"Alyssa Hurst, Peyton Wimmer",Biochemistry,The Effects of Elderberry on DNA Damage and Repair in Tetrahymena thermophila,"The homeopathic supplement, Elderberry extract, has been marketed as an antioxidant that reduces DNA-damaging free radicals within the body to protect the structural integrity of tissues. However, very little research has been done to support the effectiveness of Elderberry’s antioxidant properties in protecting tissues from DNA damage. For this research project, we explored how elderberry influences behavior and expression of the DNA repair genes, Rad51 and Ku80, in Tetrahymena thermophila. It was hypothesized that UV-B exposed T. thermophila treated with elderberry would exhibit increased expression of Rad51 and Ku80 because antioxidants have been shown to play a significant role in DNA repair and replication. To test our hypothesis, T. thermophila was subjected to UV-B light to induce DNA damage and then treated with elderberry to investigate its protective effects. Following treatment, Reverse Transcription--quantitative -Polymerase Chain Reaction (RT-qPCR) was performed to measure the expression of Rad51 and Ku80. Additionally, three behavioral assays were conducted to determine the impacts of elderberry treatment on cell growth, metabolic activity, and motility within the T. thermophila. The treatment of UV-B exposed T. thermophila with elderberry was predicted to increase expression of Rad51 and Ku80 and improve their growth, metabolic activity, and motility.  This is because antioxidants such as elderberry are thought to play an essential role in facilitating the removal of excess free radical oxygen species to either prevent or help repair DNA damage."
Aidan Scott,Health Science,"Brain to Computer Interface (BCI) Enhancement of Stroke Rehabilitation, a Systematic Review","Objective: To review literature on the use of Brain to Computer Interface (BCI) technology to optimize stroke rehabilitation. Methods: Published research was gathered through PubMed and Google Scholar, that assessed the impact of BCI intervention, including soft glove BCI robotics, motor imagery (MI) enhanced with BCI, haptic knob (HK) robotic arm, and exoskeleton with BCI. Results: The majority of research supported the use of novel BCI based technologies to enhance the stroke rehabilitation process. Many articles had small sample sizes. Conclusions: The use of BCI based technologies is a growing and promising field to help treat the growing number of stroke patients. Because of the small group sizes, further research is needed to confirm significant results."
"Sarah Rounds-Reenalda, Chayton Winkle, Dagimn Degaro, Elijah Larson, Juan Muniz Navarrete, Logan Hill",Business: Management & Marketing,Parish Audit,"We are using the DMAIC Six Sigma methodology to improve the auditing process within the Helena Dioceses Parishes. Lack of resources, inefficiencies, communication gaps, as well as limited expertise and staff have led to non-standardized and incomplete audits. These issues could potentially expose the Dioceses to fraud, loss, liability, and improper use of church funds. Our goals are to design an audit process with reduced variation in the parish auditing process and improve the schedule."
"Addie Butler, Delaney Hasquet, Ellie Koerber",Nursing,How Does Intrapartum COVID-19 Affect Neonatal Outcomes?,"The SARS-CoV-2 (COVID-19) virus led to a pandemic that changed procedures, protocols, and health outcomes of patients of all ages. The effects of COVID-19 on the neonates born to mothers with the virus is an emerging topic in neonatal nursing. COVID-19 has effects on not only the infected mother, but the neonate after birth. It is hypothesized that neonates born to mothers who had COVID-19 during pregnancy have more negative health outcomes than neonates whose mothers did not have COVID-19 during pregnancy. Prevention and early detection are essential in mothers infected with COVID-19 as well as early intervention for the neonates born to these mothers. The purpose of this evidence-based review is to determine the effects of intrapartum COVID-19 on neonates. Nursing practice would benefit from implementation of an assessment standard for pregnant women and neonates whose mothers had COVID-19 during their pregnancy. Identifying COVID-19 in pregnancy can prepare nurses to assess neonates after birth for signs of complications and provide early intervention in order to treat neonatal morbidities and prevent mortality."
Nathan Stalder,Anthrozoology,Impact of Animal-Assisted Therapy on Psychological Well-being,"At the turn of the century, animals became increasingly popular in mental health treatments such as psychiatric disorders. Studies denote the numerous health benefits of these animals on patients, leading to the integration of Animal-Assisted Therapy (AAT) in psychiatric treatment programs. This systematic review includes randomized controlled trials, non-randomized controlled studies, and observational studies with control groups published in the last 20 years. Studies are peer-reviewed, and report on AAT interventions among psychiatric inpatients. We aimed to evaluate the efficacy of animal-assisted therapy (AAT) in improving mental health outcomes across various psychiatric disorders in diverse in-patient populations, including children, adolescents, and adults, focusing on measurable improvements in psychiatric symptoms, social functioning, and quality of life indicators. The findings suggest that AAT has the potential of being a beneficial adjunctive treatment for improving mental health outcomes in psychiatric in-patient across all patient demographics. These results underscore the potential for integrating AAT into existing therapeutic modalities, offering a complementary approach that leverages the unique benefits of the human-animal bond."
"Hunter Wetherelt, Hunter Smith",Biology,The effects of Bryonia alba on oxidative stress in Tetrahymena thermophila,"In recent years, the market for homeopathic supplements has experienced drastic growth despite the fact that it remains unregulated. An example of a supplement that has grown in popularity is Bryonia alba, which is derived from a flower located in Europe and is said to have anti-inflammatory and antioxidant properties. For this study, we focused on the antioxidant properties of Bryonia alba due to its flavin molecules that have been shown to relieve oxidative stress. It was hypothesized that Tetrahymena thermophila cells exposed to an oxidative stressor and treated with Bryonia alba would remain healthier and have altered expression of the RAD51 and OXR1 genes compared to untreated cells. The Rad51 gene was chosen for its role in DNA repair while OXR1 served as an indicator for oxidative stress resistance.  To test the antioxidant properties of Bryonia alba, we exposed T. thermophila to hydrogen peroxide and treated them with either the Bryonia extract or a control solution. Following treatment, behavioral assays were performed to evaluate changes in cell viability, metabolic function, and motility, while expression of Rad51 and OXR1 was measured by Real-Time quantitative Polymerase Chain Reaction (RT-qPCR).  It was predicted that T. thermophila exposed to oxidative stress and treated with Bryonia alba would have better motility, increased metabolic function, and improved growth compared to untreated cells.  Expression of RAD51 and OXR1 was also predicted to be higher in the Bryonia alba treated cells, indicating they were better able to respond to the oxidative damage caused by hydrogen peroxide."
"Geri Cutler, Elissa Mazkour",Neuroscience,"Effects of the Magnesium Supplement, Calm, on Climbing, Wall following, and Aggression in Drosophila melanogaster","In recent years, there has been a marked increase in the accessibility and popularity of homeopathic supplements; however, the benefits these supplements claim to provide and their safety have not been thoroughly studied.  Prior research has shown that magnesium supplements may be used as an alternative to melatonin to boost energy, improve anxiety symptoms, and improve sleep and memory. To determine whether or not magnesium supplements provide the benefits they claim, the effects of the magnesium supplement, Calm, on behaviors of the model organism, Drosophila melanogaster, were analyzed. It was hypothesized that if Drosophila melanogaster were exposed to Calm for one week, they would be able to climb further, spend less time wall following, and be more aggressive; behaviors that correspond to increased energy, improved anxiety symptoms, and better sleep. The results of this study showed that the Calm treated flies climbed significantly further and spent less time engaging in wall following behaviors; however, they did not exhibit more aggressive behaviors. These findings support Calm’s claim of improving energy and anxiety symptoms; however, they do not support Calm’s claim of improving sleep-related behaviors."
Charlie Markham,Chemistry,Spatial and risk assessment of metal contaminants in an acid mine drainage affected region of central Montana,"A 1996 water quality investigation by the Montana DEQ identified concentrations of arsenic and mercury exceeding the human health and aquatic life standards in Silver Creek (Marysville, Montana). While the findings indicated Silver Creek did not support aquatic life nor drinking water use, minimal reclamation efforts were made. To assess the current conditions of Silver Creek, surface water and bed sediment samples were collected at six different locations spanning the creek over the course of a month in the summer of 2023. The samples were tested for fifteen environmentally relevant trace metal contaminants by Inductively Coupled Plasma-Optical Emission Spectroscopy (ICP-OES). Sample collection, preservation, and testing were performed according to EPA standards and procedures. The surface water was found to have ten of the fifteen metals above the EPA region III acceptable freshwater screening limits; with Pb, Cd and Be concentrations also exceeding the EPA drinking water standards. The freshwater sediment screening limits were exceeded for eight metals; of note, the bioaccumulating metals, As and Pb, were found to be ten times higher than their acceptable concentration levels. Further anthropogenic mitigation studies will be tested to determine if conditions hinder the leaching of metals from the Silver Creek sediment."
Robert Hague,Health Science,Supplementation of dietary sugars with non-nutritive sugars increases insulin sensitivity in patients with type II diabetes. ,"Objective: To review relevant literature regarding the consumption of non-nutritive sweeteners as an alternative to dietary sugars to help manage type II diabetes. Methods: Literature was gathered through PubMed and CINAHL in early 2024. Studies were reviewed to assess the effects that consumption of non-nutritive sweeteners (NNS) have on insulin resistance and blood sugar levels, when compared to dietary sugars. Results: The reviewed literature found that non-nutritive sweeteners can be used to help manage diabetes. Common NNS like aspartame and acesulfame resulted in small metabolic responses, leading to minimal increases in free insulin and blood sugar levels, when compared to physiological responses to dietary sugars. Conclusions: The use of NNS to manage insulin resistance in individuals with type II diabetes is possible. However, the studies reviewed were mostly short-term trials, there may be negative long-term side effects from longer uses of NNS. Given the increasing global burden of diabetes, further research on NNS is warranted. Keywords: non-nutritive sweeteners; sweetening agents; artificial sweeteners; type II diabetes; randomized controlled trial."
Taylor Costales,Nursing,The Effects of Dance Movement Therapy (DMT) on Dementia Symptoms,"Dementia is prevalent worldwide with over 55 million people with a current diagnosis of dementia. Dementia is defined as “the impaired ability to remember, think, or make decisions” and is not a normal part of the aging process. Treatment may include Dance Movement Therapy (DMT) which is “the psychotherapeutic use of movement to promote emotional, social, cognitive, and physical integration of the individual, for the purpose of improving health and well-being”. DMT improves cognitive ability, daily functioning, and psychosocial functioning if the patient is consistent with participation in the DMT. The purpose of this Evidenced-Based review is to examine the effects that DMT can have to benefit the elderly with dementia. The outcome of the research may help dementia patients improve their quality of life and contribute to the holistic care of the person. Nurses can use this information to promote and organize DMT interventions to help dementia patients improve function, have socialization, and cognition."
"Gracelyn Dunlap, Kinley Hamilton, Deanna Lord",Special Education,Understanding the Factors Contributing to the Special Education Teacher Shortage,"The shortage of certified special education staff is a pressing issue, impacting the quality of support for students with diverse learning needs. We are researching why there is a lack of certified special education teachers. The main question we want to answer is, “Would knowing why there is a lack of certified special education teachers help us figure out how to improve conditions to reverse this pressing issue?” Our research methods include the use of Google Scholar, Carroll College’s Library Catalog, the ERIC database, and peer-reviewed articles. Through our research, we determined several main issues that contribute to the special education teacher shortage. Special Education teachers experience unmanageable workloads as their working conditions are not always ideal. Licensed Special Education teachers have tiring work environments including their tasking job assignments, large classes, general job stress, paperwork, lack of empowerment in the workplace, and the overall school climate. Often, they have too little time to plan and manage their workload effectively. Stress, exhaustion, burnout, and isolation come as a result of these large demands and lack of administrative support. Along with these issues, special education teachers do not always see their student’s progress, which can lead to unmotivated and decreased feelings of accomplishment. This research can be used to combat the certified special education teacher shortage by specifically attempting to address the issues that are leading to high teacher attrition rates."
"Jesse Windle, Elaina Patten, Jasmine Pearson",Nursing,Mindfulness As an Intervention For Compassion Fatigue and Burnout in Patient-care Nurses,"Compassion fatigue is a significant challenge currently facing nurses. Characteristically seen in nurses who, in their effort to provide care, alleviate suffering, and advocate for clients, become too overwhelmed to continue in the profession. These nurses tend to experience a decline in mental and physical health and overall well-being. While compassion fatigue can affect all nurses, the population this project will focus on are those involved in direct patient care. The demands on patient care nurses vary but high workloads, constant exposure to stress and traumatic events, and care for multiple patients, all exert a high amount of social and professional pressure upon them. This reality gets lost in promoting and maintaining patient health and safety. However, it is just as important to care for the health and safety of every nurse. To promote resilience, combat burnout, and facilitate sustainable nursing practices, some institutions have implemented resiliency initiatives that utilize mindfulness as a core component. While mindfulness can have several definitions, in this paper it involves a diversity of practices that aim to improve emotional balance, clarify a sense of purpose, and enhance overall wellbeing. The intent of implementing these mindfulness interventions is to help alleviate the stress that patient care nurses experience daily and reduce the rate of nurse burnout throughout the profession. This research paper reviews several studies that explore the impact of mindfulness as an effective intervention against compassion fatigue, specifically in client care nurses."
Anika Bjornson,Sociology,"Impacts of Societal Body Standards: A Study on the Interplay Between Social Media, Eating Disorders, and Depression in Adolescents with Type 1 Diabetes","Hundreds of new social media platforms have launched reaching record highs of active followers, since social media's first breakthrough in 2004 when MySpace reached one million active users (Our World in Data, 2024). With the influence of social media, adolescents are at a greater risk for developing dysregulated eating habits and comorbidities, such as depression, than any other generation (Bor et al., 2014; Chung et al. 2021). However, adolescents diagnosed with type one diabetes (T1D)  are exposed to more risk factors, leading to double the prevalence of mental health disparities, compared to healthy peers (Hood et al. 2006; Polonsky & Fortmann 2020; Ripoli et al. 2022; Whittemore et al. 2002). Research on contemporary concerns has revealed that increased use of social media is associated with poorer sleep quality, diminished self-worth, feelings of loneliness, and unrealistic comparison of body standards in youth (Alonzo et al. 2019; Gupta & Sharma 2021; Lee et al. 2023; Oberst et al. 2016; Weinstein 2017). The broad consensus in coexisting literature has shown poor body image in T1D adolescents is negatively influenced by variables like body weight and engagement in social media involvement (Verbist & Condon 2019). The purpose of this study is to examine how societal expectations through social media contribute to the development of eating disorders and depression in T1D adolescents. Erving Goffman's framing theory is used to identify which frames are employed amongst popular social media posts, enabling the identification of which sociological frameworks are being manipulated. This study aims to determine if modern dilemmas are an additional risk factor for T1D adolescents’ mental health. "
"Emilie Turpen, Miya Nettleton, Aubrey Baker",Nursing,The Effect of Opioids and Cannabis on Pain Management,"Amidst the ongoing opioid crisis, many have turned to cannabis to modulate their pain needs. This shift is partially due to the negative connotation of opioid abuse and the risk for addiction that opioids carry. As we move forward in this new climate, both modalities must be evaluated. Both chemicals interact with receptors in our body to reduce pain but use different mechanisms to produce this effect. Part of the challenge associated with pain relief is that it is often measured quantitatively via subjective information provided by the patient. Opioids, such as morphine and oxycodone, are highly effective narcotics that effectively relieve pain for patients. However, there is a high risk of addiction and misuse associated with opioid prescriptions. Cannabis is often used as an alternative to opioids for pain management. Additionally, considering the controversy concerning complex cannabis legalities, it is imperative to understand the potential risks associated with its use. The purpose of this evidence-based practice review is to explore the benefit-risk ratio of cannabis and opioid use separately and concurrently in the context of addiction and effective pain management. As nurses and providers enter this new landscape of pain modulation options, it is important that they are informed of the various methods available to patients, as well as accurately educate patients on risks and benefits associated with different treatment modalities."
Kaitlyn Hansen,Anthrozoology,Does Age Affect Learning in Cats,"Currently, there is very little published research denoting the effect of age on learning in felines. This case study was conducted as a proof of concept, and we found there was a difference in learning between younger and older cats. A four and a half month old cat and an eight year old cat were trained for approximately nine months, excluding school breaks. Differences in learning speed and command interpretation were noted and compared. Major differences were found between the two cats, but we are unable to conclude whether the difference was age, personality, sex or some other unknown factor due to the small sample size. Based on the results of this study, we feel it is necessary to conduct more intensive research which would benefit veterinarians, shelter workers, and cat trainers."
Conner Bawden,Health Science,How Dry Needling Affects Quality of Life in Individuals Who Are Experiencing Lower Back Pain: A Systematic Review,"Objective: To review the current literature on the effectiveness of dry needling and how it affects the quality of life of individuals experiencing lower back pain. Methods: Literature was identified through PubMed, CINAHL, and Google Scholar assessing the quality of life of individuals who are experiencing lower back pain and how the treatment of dry needling has affected them. Results: Dry needling is an effective way to treat lower back pain and a majority of participants that were studied reported improvement in their degree of mobility and, overall, less pain doing their daily activities. Conclusion: The findings in this review have shown that dry needling is effective for people experiencing musculoskeletal pain and has helped them improve their quality of life."
